scores,steps,milliseconds,stepsPerSecond
73.581547,1000,974.8427867889404,1025.8064311004707
208.055391,367,354.2459011077881,1036.003518607633
232.867149,391,349.5659828186035,1118.5298891136595
258.68265,371,352.97179222106934,1051.0754915158757
243.805697,374,342.71860122680664,1091.2742951833295
260.686771,385,351.1655330657959,1096.3490540737798
270.947158,402,382.8585147857666,1049.9962374480408
218.428334,393,378.71599197387695,1037.7169391545217
229.737887,369,311.1715316772461,1185.8411275962574
209.995867,360,363.7654781341553,989.6486105458127
202.631879,374,324.7041702270508,1151.817667566385
265.135213,346,323.7018585205078,1068.8848114169216
248.547913,387,301.69034004211426,1282.7722622672538
248.220794,397,361.33527755737305,1098.7025753026953
266.559028,434,414.7913455963135,1046.3091976426647
-42.002248,230,227.70428657531738,1010.0819947626381
257.566169,368,374.6979236602783,982.1244708408071
257.565512,365,334.60521697998047,1090.837743937023
248.471686,390,381.2534809112549,1022.9414799514475
240.456581,398,383.18443298339844,1038.6643238642303
233.305915,390,389.4510269165039,1001.409607487346
248.929066,417,405.2543640136719,1028.9833670635855
215.540772,377,321.1688995361328,1173.8371945244528
222.036824,371,332.8275680541992,1114.6913164945056
231.088313,396,374.89819526672363,1056.2867599783012
249.87257,317,251.16753578186035,1262.1057853404882
215.140739,374,377.7902126312256,989.9674144419264
238.882628,362,313.89427185058594,1153.2545588226358
208.874828,366,362.1656894683838,1010.5871722339147
241.501436,399,383.7921619415283,1039.6251918786936
249.12072,355,338.7017250061035,1048.1198464330312
240.011262,374,362.1845245361328,1032.6228059550579
227.22205,386,361.743688583374,1067.0538621188284
228.666552,382,395.7042694091797,965.3673956319922
211.102655,371,321.1712837219238,1155.1468602691727
214.080946,367,336.254358291626,1091.4356675243716
246.213169,367,348.7107753753662,1052.4481200930672
234.448491,372,381.72030448913574,974.5355319724356
179.327385,521,515.2599811553955,1011.1400439671897
257.427024,396,400.24566650390625,989.3923486018185
235.814981,411,395.5223560333252,1039.1321596126686
273.32894,438,409.3196392059326,1070.0683721155094
237.956719,402,370.84031105041504,1084.0245464721036
214.438901,368,354.25567626953125,1038.7977515990783
252.777557,323,316.16926193237305,1021.6046873939567
262.559823,360,345.22509574890137,1042.7978858809417
248.053582,375,374.8805522918701,1000.3186287135986
225.280472,386,360.69464683532715,1070.1572739897797
217.301529,373,356.9512367248535,1044.9606602358328
217.585602,391,372.18403816223145,1050.5555314265434
256.22537,428,419.5258617401123,1020.1993226942878
247.792718,428,399.91116523742676,1070.2376857767822
226.855355,403,392.7175998687744,1026.1826822496914
213.512422,389,372.1809387207031,1045.190549889817
225.985723,365,314.17131423950195,1161.7865268302307
245.079667,375,360.70847511291504,1039.6207072279385
257.865252,411,382.8771114349365,1073.4514749645527
242.936238,420,371.72389030456543,1129.8708825410183
215.910558,370,344.1643714904785,1075.0677020914009
208.544426,365,363.4834289550781,1004.1723251298736
269.565605,371,351.17602348327637,1056.4502562563691
249.501046,346,291.1672592163086,1188.3204208168065
198.795911,482,447.86930084228516,1076.206828852808
-12.425913,257,246.16122245788574,1044.0312143151166
248.786223,344,329.77914810180664,1043.1223501547868
214.107144,364,317.52777099609375,1146.3564237487685
244.080722,463,447.8340148925781,1033.8651924665878
227.419743,364,355.35359382629395,1024.3318382701727
217.423536,462,481.71114921569824,959.0809777855649
250.973629,381,321.26402854919434,1185.9404294983447
195.089429,369,324.16343688964844,1138.31468329852
263.946146,444,407.7949523925781,1088.7824809870815
240.119591,368,339.53022956848145,1083.850473248587
251.986194,361,349.96533393859863,1031.530740308517
199.274653,413,386.2497806549072,1069.2562706436656
227.652694,365,342.26036071777344,1066.4395936314038
263.548889,358,326.6746997833252,1095.891418091
224.820886,369,338.69481086730957,1089.4763904267877
216.332903,383,418.6978340148926,914.7408199546052
222.559598,365,335.6943130493164,1087.2987292649736
248.967296,370,324.70202445983887,1139.5062923168311
232.991675,370,387.12191581726074,955.7712567599942
248.585357,338,315.17720222473145,1072.4125908034273
229.428044,376,328.1691074371338,1145.750747035289
244.086749,417,401.76916122436523,1037.9094272174095
-15.858324,270,261.16490364074707,1033.829569885111
236.103076,408,389.24145698547363,1048.1925619120946
285.784747,353,341.7079448699951,1033.0459250349038
256.659099,390,347.69201278686523,1121.682367317047
236.179054,383,378.76033782958984,1011.1935219899335
122.48919,611,635.439395904541,961.5393756476936
247.697294,405,396.8331813812256,1020.579979200199
217.462141,374,357.29002952575684,1046.7686447797687
240.961708,435,426.70726776123047,1019.4342418451843
232.900885,377,374.70412254333496,1006.127174265075
242.680342,421,396.2388038635254,1062.4905887435573
196.250708,342,329.6988010406494,1037.3104145981833
223.278985,374,367.51675605773926,1017.6406757934111
-172.938037,506,489.2535209655762,1034.228632634822
253.957737,347,373.7668991088867,928.3861166606706
