epochs,score,training seconds
1,-920.8137027399998,4.946177959442139
2,-761.9218581099999,0.1630871295928955
3,-774.8132165599999,0.23109865188598633
4,-819.3114749000001,0.31062865257263184
5,-860.5915957699998,0.4071788787841797
6,-817.7336387999997,0.4581918716430664
7,-983.7879847700003,0.46572208404541016
8,-876.9969308999997,0.6033294200897217
9,-931.4406210600002,0.6528000831604004
10,-719.8939723700001,0.661949872970581
11,-717.0771806900001,0.7593424320220947
12,-710.5697310800002,0.8383715152740479
13,-692.3737178499995,0.9449193477630615
14,-665.24955289,1.0009784698486328
15,-655.5176062500005,1.1119139194488525
16,-649.7319603900002,1.1137595176696777
17,-642.9101837700007,1.3032588958740234
18,-614.0708971099997,1.4127929210662842
19,-631.45908579,1.3674485683441162
20,-628.34954201,1.3854930400848389
21,-607.6966923100001,1.6973683834075928
22,-610.36557427,1.5200755596160889
23,-540.73176305,1.677020788192749
24,-455.29216455000017,1.7397856712341309
25,-559.22245512,1.7979917526245117
26,-506.0697732499996,1.788062334060669
27,-577.1566272199999,1.7568113803863525
28,-470.65118313000016,1.8931593894958496
29,-534.4919552100001,2.0599846839904785
30,-460.55468895999996,1.9310386180877686
31,-384.83083778,2.1480088233947754
32,-372.40896166,2.246325731277466
33,-376.00396354,2.2476255893707275
34,-289.83191150000005,2.245917558670044
35,-383.49080500000014,2.3289523124694824
36,-358.06525149999993,2.609919786453247
37,-370.29641817,2.7569034099578857
38,-317.57494882000003,2.653503656387329
39,-386.00246474999983,2.703418254852295
40,-183.18625367999994,2.918084144592285
41,-288.8796288599999,2.8515045642852783
42,-263.1786232299999,2.8907887935638428
43,-261.73609911,2.8926455974578857
44,-196.48247283000003,2.9747085571289062
45,-279.17150720999985,2.982159376144409
46,-218.5002278399999,3.156078815460205
47,-231.28329447,3.4228944778442383
48,-155.57799148000004,3.2907071113586426
49,-141.63578781999996,3.4762439727783203
50,-187.03368353000005,3.62974214553833
51,-229.58901731000012,3.5296192169189453
52,-139.86103607000004,3.730043649673462
53,-160.43880536999995,3.6715688705444336
54,-185.73459340999992,4.388800859451294
55,-198.42114662000012,4.110619783401489
56,-100.88374821000001,3.805232524871826
57,-155.85800301,3.871540069580078
58,-166.24113627000003,3.9353625774383545
59,-123.65522494999996,4.270556449890137
60,-63.21901465999999,4.104211807250977
61,-188.64296235999998,4.22550630569458
62,-78.60053215999999,4.441051721572876
63,-214.0066370700001,4.474205493927002
64,-114.71349752000002,4.57901406288147
65,-36.75192749,4.359565258026123
66,-78.86999452,4.534655332565308
67,-49.03384683000001,5.323669910430908
68,-94.13562130999999,4.567914009094238
69,-28.81696969,4.847787141799927
70,-37.0022438,4.8865485191345215
71,-41.722448,5.206082105636597
72,-73.37557092000001,5.276609659194946
73,-76.973384640000003,5.3119707107543945
74,-52.90209898,5.1888298988342285
